address,price_in_dollars,number_of_bedrooms,number_of_baths,area in sq.meter,city,state
6712 Cold Stream Dr,525000,4.0,3.0,215.5332590115199,Nashville,Tennessee
413 35th Ave N A,1036000,4.0,4.0,231.14083983649203,Nashville,Tennessee
1309 Davidson St,450000,2.0,1.0,69.67670011148273,Nashville,Tennessee
700 Revels Dr,492000,4.0,3.0,280.84355258268306,Nashville,Tennessee
2605 Woodberry Dr,545000,4.0,3.0,179.02266815310296,Nashville,Tennessee
5821 Fredricksburg Dr,1295000,5.0,4.0,313.173541434411,Nashville,Tennessee
524 Huntington Ridge Dr,375000,3.0,3.0,212.56038647342996,Nashville,Tennessee
775 Newberry Rd,2795000,5.0,6.0,530.4719435154218,Nashville,Tennessee
7060 Bridgeport Drive,650000,4.0,4.0,211.25975473801563,Nashville,Tennessee
512 Fairfax Ave,3600000,6.0,8.0,665.830546265329,Nashville,Tennessee
1423 Shelton Ave,799000,4.0,2.0,202.2482348569305,Nashville,Tennessee
128 Sequoyah Ln,564900,3.0,3.0,206.98625046451136,Nashville,Tennessee
4617 Churchwood Dr,1295000,2.0,2.0,239.31623931623932,Nashville,Tennessee
487 Oakley Drive,1095000,5.0,3.0,252.32255667038277,Nashville,Tennessee
913 S 14th St,584900,3.0,2.0,130.8063916759569,Nashville,Tennessee
322 Sylvan Park Ln,679900,3.0,3.0,155.70419918246006,Nashville,Tennessee
538B Moore Ave,899999,3.0,3.0,199.83277591973246,Nashville,Tennessee
1452 Scarcroft Ln,589900,3.0,3.0,256.0386473429952,Nashville,Tennessee
927B Gale Ln,1715000,4.0,4.0,379.9702712746191,Nashville,Tennessee
1235A Battlefield Dr,1200000,4.0,4.0,371.6090672612412,Nashville,Tennessee
1053 General George Patton Rd,355000,3.0,2.0,130.34188034188034,Nashville,Tennessee
113 38th Ave N,1399000,4.0,3.0,282.329988851728,Nashville,Tennessee
131 Woodmont Blvd A,899000,4.0,4.0,326.27276105536976,Nashville,Tennessee
165 Jefferson Sq,559000,3.0,3.0,231.79115570419918,Nashville,Tennessee
6 Castlewood Ct,3399000,6.0,8.0,718.9706428836864,Nashville,Tennessee
5065 English Village Dr,523000,4.0,4.0,173.2627276105537,Nashville,Tennessee
2820 Mashburn Rd,475000,3.0,2.0,176.88591601635082,Nashville,Tennessee
609 Hogan Rd,874000,3.0,2.0,226.21701969528058,Nashville,Tennessee
631 Bristol Creek Dr,399000,2.0,3.0,107.02341137123746,Nashville,Tennessee
210B Page Rd,1879000,4.0,5.0,382.9431438127091,Nashville,Tennessee
5417 Cochran Dr,720000,4.0,3.0,268.1159420289855,Nashville,Tennessee
3732 Central Ave,1390000,4.0,5.0,306.7632850241546,Nashville,Tennessee
111 Glendale Garden Dr,875000,3.0,3.0,227.79635823114086,Nashville,Tennessee
5806 Hillsboro Pike,3125000,5.0,5.0,498.42066146413976,Nashville,Tennessee
5109 Trousdale Dr,700000,4.0,2.0,241.54589371980677,Nashville,Tennessee
2826 Hartford Dr,699000,3.0,2.0,163.60089186176143,Nashville,Tennessee
3435 Hopkins Street,2100000,5.0,7.0,549.2382014121144,Nashville,Tennessee
5729 Stoneway Trl,999999,5.0,5.0,433.3890746934226,Nashville,Tennessee
421A 35th Ave N Unit A,799000,3.0,4.0,237.45819397993313,Nashville,Tennessee
2709 Glenoaks Dr,529900,4.0,3.0,249.53548866592345,Nashville,Tennessee
604A Hume St,1265000,4.0,4.0,252.04384986993685,Nashville,Tennessee
515 Basswood Ave E54,270000,2.0,1.0,89.92939427722037,Nashville,Tennessee
7005 Collinswood Dr,584900,4.0,3.0,236.80787811222595,Nashville,Tennessee
817 3rd Ave N 401,425000,1.0,1.0,78.96692679301376,Nashville,Tennessee
3326 Goodland Rd,395000,2.0,1.0,124.86064659977704,Nashville,Tennessee
1762 Hillmont Dr,4395000,5.0,7.0,693.1438127090302,Nashville,Tennessee
1002B Woodmont Blvd,1695000,5.0,5.0,395.48494983277595,Nashville,Tennessee
124 Cross Timbers Dr,395000,3.0,3.0,157.9338535860275,Nashville,Tennessee
1101 18th Ave S 610,500000,2.0,2.0,116.77814938684504,Nashville,Tennessee
1350 Rosa L Parks Blvd 351,525000,1.0,1.0,86.49201040505389,Nashville,Tennessee
5212A Michigan Ave,719900,3.0,3.0,204.0133779264214,Nashville,Tennessee
1810 Northview Ave,584000,3.0,3.0,163.60089186176143,Nashville,Tennessee
1130 Delmas Ave,500000,4.0,2.0,167.03827573392792,Nashville,Tennessee
1021 Maplewood Pl,585000,3.0,3.0,170.75436640654033,Nashville,Tennessee
308 Rose Hall,399000,2.0,2.0,116.12783351913788,Nashville,Tennessee
110 31st Ave N 508,749900,2.0,2.0,175.49238201412115,Nashville,Tennessee
1125 10th Ave N 306,675000,2.0,2.0,117.14975845410629,Nashville,Tennessee
1407 Ardee Ave,379999,2.0,1.0,83.79784466740989,Nashville,Tennessee
4225 Harding Road 602,295000,1.0,1.0,81.75399479747307,Nashville,Tennessee
109 Peak Hill Cir,472900,3.0,2.0,144.83463396506875,Nashville,Tennessee
5344 Hunters Rdg,379000,3.0,2.0,105.44407283537718,Nashville,Tennessee
1007 Chicamauga Ave,425000,2.0,1.0,77.20178372352287,Nashville,Tennessee
1500 Lock Rd,4500000,1.0,2.0,206.80044593088073,Nashville,Tennessee
3304A Curtis St,299000,2.0,1.0,81.47528799702714,Nashville,Tennessee
605A James Ave,699999,4.0,3.0,219.06354515050168,Nashville,Tennessee
4209A Lone Oak Rd,1699000,4.0,3.0,343.36677814938685,Nashville,Tennessee
1350 Rosa L Parks Blvd 333,399900,1.0,1.0,62.43032329988852,Nashville,Tennessee
700 Church St 808,398000,1.0,1.0,69.11928651059087,Nashville,Tennessee
2301 Alameda St,500000,3.0,2.0,117.05685618729098,Nashville,Tennessee
511C Chesterfield Ave,739900,3.0,4.0,175.39947974730583,Nashville,Tennessee
1737 Pecan St 4,865000,3.0,4.0,168.52471200297288,Nashville,Tennessee
3242 Viking Road,419000,4.0,2.0,120.0297287253809,Nashville,Tennessee
5313A Illinois Ave,749000,3.0,3.0,187.5696767001115,Nashville,Tennessee
6114 Hill Cir,2350000,4.0,5.0,373.652917131178,Nashville,Tennessee
1616 West End Ave 3111,1150000,1.0,2.0,104.42214790040877,Nashville,Tennessee
4005 Kennedy Ave,719997,4.0,3.0,185.8045336306206,Nashville,Tennessee
1723 Kingsbury Dr,1095000,4.0,4.0,300.1672240802676,Nashville,Tennessee
1009 Battery Ln,1750000,4.0,5.0,352.84280936454854,Nashville,Tennessee
552 McMurray Dr,599900,5.0,3.0,328.68821999256784,Nashville,Tennessee
3188 Robwood Dr,370000,3.0,2.0,109.16016350798961,Nashville,Tennessee
200 Bermuda Dr,675000,3.0,2.0,241.17428465254554,Nashville,Tennessee
5610 New York Ave,800000,4.0,3.0,247.1200297287254,Nashville,Tennessee
1010 Monroe St,1500000,4.0,5.0,341.32292827945,Nashville,Tennessee
5208 Louisiana Ave,799900,3.0,3.0,208.84429580081755,Nashville,Tennessee
3524B Sanford Ave,575000,3.0,3.0,182.0884429580082,Nashville,Tennessee
2010 Cedar Ln A,1595000,4.0,5.0,326.17985878855444,Nashville,Tennessee
323 Garfield St,999500,3.0,4.0,209.77331846897064,Nashville,Tennessee
441 Belle Pointe Drive,525000,3.0,2.0,207.91527313266445,Nashville,Tennessee
1820 16th Ave N B,515000,3.0,3.0,169.73244147157192,Nashville,Tennessee
608 Clematis Dr,950000,4.0,4.0,351.7279821627648,Nashville,Tennessee
3507 Wilbur Pl,949900,3.0,3.0,217.67001114827204,Nashville,Tennessee
2609B Alpine Park Ave,695000,4.0,3.0,192.30769230769232,Nashville,Tennessee
605 S 13th St,1585000,5.0,5.0,351.4492753623189,Nashville,Tennessee
720 Croley Dr,672000,3.0,3.0,139.7250092902267,Nashville,Tennessee
907 S 12th St,1799000,4.0,5.0,341.04422147900414,Nashville,Tennessee
3020 Richmond Hill Dr,550000,4.0,3.0,174.0059457450762,Nashville,Tennessee
7277 Charlotte Pike 308,415000,3.0,3.0,169.08212560386474,Nashville,Tennessee
1001 Clifton Ln 6,480000,2.0,2.0,115.29171311780009,Nashville,Tennessee
712 Harding Pl,539900,3.0,3.0,142.6978818283166,Nashville,Tennessee
2110 Portland Ave 304,499900,2.0,1.0,100.52025269416575,Nashville,Tennessee
3013 Medial Ave,3690000,6.0,8.0,579.338535860275,Nashville,Tennessee
2104 McKennie Ave,950000,5.0,3.0,268.95206243032334,Nashville,Tennessee
940 Gale Ln,510000,2.0,2.0,106.28019323671498,Nashville,Tennessee
1320 Greenstone Ln,759000,5.0,4.0,340.48680787811224,Nashville,Tennessee
517 Cinnamon Pl,500000,3.0,3.0,214.7900408769974,Nashville,Tennessee
900 20th Ave S Apt 1005,649900,1.0,1.0,94.20289855072464,Nashville,Tennessee
414B Scott Ave,749900,4.0,3.0,214.60423634336678,Nashville,Tennessee
2201 Chickering Ln,3800000,4.0,6.0,590.393905611297,Nashville,Tennessee
1406B Holly St,750000,3.0,3.0,197.04570791527314,Nashville,Tennessee
1102 Caldwell Ave,2000000,4.0,4.0,333.7049424005946,Nashville,Tennessee
923C Gale Ln,1549000,4.0,4.0,332.68301746562616,Nashville,Tennessee
918B Waldkirch Ave,1100000,3.0,4.0,243.03232998885176,Nashville,Tennessee
2418 Abbott Martin Rd,569900,2.0,2.0,108.04533630620588,Nashville,Tennessee
8319 Saint Danasus Dr,365000,2.0,3.0,120.40133779264215,Nashville,Tennessee
108 Sugarbush Ct,565000,4.0,3.0,251.6722408026756,Nashville,Tennessee
2418 Abbott Martin Rd B,569900,2.0,2.0,108.04533630620588,Nashville,Tennessee
1808A Warfield Dr,1159000,4.0,4.0,250.09290226681532,Nashville,Tennessee
1803 Broadway 630,595000,2.0,1.0,98.10479375696768,Nashville,Tennessee
533 Northcrest Dr,484900,3.0,2.0,190.4496469713861,Nashville,Tennessee
4034 Boyd Dr,499999,3.0,2.0,194.35154217762914,Nashville,Tennessee
516B Snyder Ave,749900,3.0,3.0,200.76179858788555,Nashville,Tennessee
3107B Hillside Rd,379900,3.0,1.0,123.00260126347084,Nashville,Tennessee
1607 Northview Ave,420000,2.0,2.0,156.0758082497213,Nashville,Tennessee
1212 Laurel St 2015,1400000,2.0,2.0,113.43366778149388,Nashville,Tennessee
508 Hilson Ct,484900,3.0,2.0,178.37235228539578,Nashville,Tennessee
509 Hilson Ct,484900,3.0,3.0,188.40579710144928,Nashville,Tennessee
116 Windsor Dr,1499900,4.0,3.0,296.91564474173174,Nashville,Tennessee
1516 Hamden Dr,389900,3.0,3.0,152.17391304347828,Nashville,Tennessee
2624 Morganmeade Dr,493000,3.0,2.0,149.66555183946488,Nashville,Tennessee
3428 Stokesmont Rd,2774900,4.0,5.0,529.8216276477146,Nashville,Tennessee
358 Stephens Valley Blvd,1947975,4.0,5.0,378.39093273875886,Nashville,Tennessee
803 Hillview Hts 204,375000,1.0,1.0,38.83314752879971,Nashville,Tennessee
900 20th Ave S 1403,725000,1.0,1.0,94.29580081753996,Nashville,Tennessee
2860 Sugartree Rd,1475900,4.0,3.0,283.3519137866964,Nashville,Tennessee
415 Church St,1095000,2.0,2.0,106.28019323671498,Nashville,Tennessee
3617 Richland Ave,3999999,4.0,6.0,620.2155332590115,Nashville,Tennessee
515 Church St 3011,1245500,2.0,2.0,98.01189149015237,Nashville,Tennessee
2705 Mossdale Dr,379900,3.0,2.0,158.11965811965814,Nashville,Tennessee
7434 George E Horn Rd,700000,4.0,4.0,312.52322556670384,Nashville,Tennessee
925 Youngs Ln,699900,5.0,4.0,429.76588628762545,Nashville,Tennessee
415 Church St 1714,1095000,2.0,2.0,106.28019323671498,Nashville,Tennessee
1616 West End Avenue 2802,2795000,3.0,4.0,181.2523225566704,Nashville,Tennessee
3703A Lealand Ln,1699999,4.0,5.0,348.2905982905983,Nashville,Tennessee
303 Rose Hall,420000,2.0,2.0,116.12783351913788,Nashville,Tennessee
919 Rodney Dr,600000,3.0,2.0,184.132292827945,Nashville,Tennessee
2911B Snowden Rd,1750000,4.0,5.0,354.4221479004088,Nashville,Tennessee
2617 Ashwood Ave,1950000,5.0,4.0,385.1727982162765,Nashville,Tennessee
1018 W Grove Ave,948000,4.0,4.0,270.25269416573764,Nashville,Tennessee
1440 Beddington Park,2099900,4.0,4.0,392.6978818283166,Nashville,Tennessee
3509 Geneva Cir,995000,5.0,3.0,355.5369751021925,Nashville,Tennessee
555 Church N 2401,895000,2.0,2.0,125.69676700111484,Nashville,Tennessee
1062 General George Patton Rd,439000,3.0,3.0,180.60200668896323,Nashville,Tennessee
4 Peach Blossom Sq,1385000,3.0,3.0,323.29988851727984,Nashville,Tennessee
409 Patterson St,650000,4.0,3.0,218.32032701597922,Nashville,Tennessee
415 Church St 2812,969999,2.0,2.0,100.61315496098105,Nashville,Tennessee
258 Ocala Dr,470000,4.0,2.0,195.09476031215164,Nashville,Tennessee
1807B 5th Ave N,899999,3.0,4.0,198.81085098476404,Nashville,Tennessee
1111 Porter Rd,599900,3.0,1.0,159.42028985507247,Nashville,Tennessee
4226 Hillsboro Pike,475000,2.0,3.0,124.30323299888518,Nashville,Tennessee
8334 Merrymount Dr,799900,5.0,3.0,302.30397621701974,Nashville,Tennessee
2316 Alameda St,630000,2.0,2.0,97.82608695652175,Nashville,Tennessee
2510 Belmont Blvd,2700000,6.0,6.0,447.88182831661095,Nashville,Tennessee
7544 Old Harding Pike,2190000,4.0,6.0,630.4347826086957,Nashville,Tennessee
441 Caledonian Ct,995000,4.0,3.0,317.1683389074694,Nashville,Tennessee
993 Windrowe Dr,599900,4.0,3.0,183.9464882943144,Nashville,Tennessee
517 Bismark Dr,500000,3.0,2.0,116.49944258639911,Nashville,Tennessee
672B Annex Ave,715000,4.0,3.0,205.12820512820514,Nashville,Tennessee
1707 6th Ave N A,799000,4.0,3.0,211.44555927164623,Nashville,Tennessee
6040 Woodland Hills Dr,974900,7.0,6.0,434.59680416202156,Nashville,Tennessee
1212 Laurel St 1013,1295000,2.0,2.0,108.88145670754368,Nashville,Tennessee
4810 Merrill Ln,598000,4.0,2.0,210.70234113712377,Nashville,Tennessee
1929 20th Ave,1650000,4.0,4.0,433.7606837606838,Nashville,Tennessee
1929 20th Ave S,1650000,4.0,4.0,433.7606837606838,Nashville,Tennessee
1723 Underwood St,615000,4.0,3.0,205.87142326272763,Nashville,Tennessee
3415 West End Ave Apt 1102D,255500,1.0,1.0,70.14121144555928,Nashville,Tennessee
1319 Lischey Ave,1185000,5.0,4.0,331.19658119658123,Nashville,Tennessee
107 Stoneway Close,713000,4.0,3.0,221.75771088814568,Nashville,Tennessee
4400 Belmont Park Ter 222,688222,3.0,3.0,209.03010033444818,Nashville,Tennessee
1041 E Trinity Ln 315,333999,1.0,1.0,75.80824972129321,Nashville,Tennessee
5317 Windypine Dr,549000,5.0,4.0,273.4113712374582,Nashville,Tennessee
814 Dewees Ave B,1699999,5.0,5.0,331.9397993311037,Nashville,Tennessee
902 Bracken Trl,375000,3.0,3.0,156.81902638424378,Nashville,Tennessee
443A Annex Ave,699900,3.0,3.0,218.69193608324045,Nashville,Tennessee
2905 Harbour View Drive,399500,3.0,3.0,208.75139353400223,Nashville,Tennessee
5416 Anchorage Dr,875000,3.0,3.0,250.8361204013378,Nashville,Tennessee
1510 Demonbreun St Apt 606,415000,1.0,1.0,79.338535860275,Nashville,Tennessee
110 31st Ave N 603,675000,2.0,2.0,171.4046822742475,Nashville,Tennessee
2405 Chapman Dr B,1059000,5.0,4.0,253.71609067261244,Nashville,Tennessee
1613B Glen Echo Rd,1149990,3.0,4.0,288.6473429951691,Nashville,Tennessee
309 Lutie St,615000,3.0,3.0,201.41211445559273,Nashville,Tennessee
9 Middleton Park Lane,1998800,5.0,6.0,503.71609067261244,Nashville,Tennessee
818 Neartop Dr,775000,3.0,2.0,207.54366406540322,Nashville,Tennessee
1732 Pecan St A,525000,3.0,3.0,148.45782237086587,Nashville,Tennessee
415 Hill Rd,420000,4.0,3.0,201.78372352285396,Nashville,Tennessee
5406 Burgess Ave,374900,2.0,1.0,74.32181345224824,Nashville,Tennessee
3208A Resha Ln,799999,4.0,3.0,219.52805648457823,Nashville,Tennessee
2420 Solomon Ln,450000,4.0,3.0,156.0758082497213,Nashville,Tennessee
615 Old Hickory Blvd 630,400990,2.0,3.0,112.31884057971016,Nashville,Tennessee
2519 Clifton Ave 202,425000,1.0,1.0,61.78000743218135,Nashville,Tennessee
110 31st Ave,775000,2.0,2.0,175.49238201412115,Nashville,Tennessee
4231 Franklin Pike,10900000,6.0,7.0,808.2497212931996,Nashville,Tennessee
1256 McAlpine Ave,475000,3.0,2.0,111.20401337792643,Nashville,Tennessee
110 31st Ave N 604,775000,2.0,2.0,175.49238201412115,Nashville,Tennessee
1041 E Trinity Ln 301,349900,1.0,1.0,71.53474544778894,Nashville,Tennessee
3851 Saunders Ave,475000,3.0,1.0,143.06949089557787,Nashville,Tennessee
6942 Highland Park Dr,389900,3.0,3.0,175.0278706800446,Nashville,Tennessee
2936 Torbett St,485000,1.0,1.0,161.4641397250093,Nashville,Tennessee
2940 Torbett St,485000,1.0,1.0,161.4641397250093,Nashville,Tennessee
442 Thunderbird Ct,400000,4.0,2.0,170.75436640654033,Nashville,Tennessee
5821 Robert E Lee Dr,1300000,5.0,4.0,379.7844667409885,Nashville,Tennessee
105 Leake Ave 56,925000,3.0,3.0,252.6012634708287,Nashville,Tennessee
3415 West End Ave 1103,330000,2.0,2.0,102.47120029728725,Nashville,Tennessee
1105 Woodbury Falls Ct,399900,2.0,4.0,186.6406540319584,Nashville,Tennessee
3317 Walton Ln,619000,3.0,3.0,171.77629134150874,Nashville,Tennessee
623A James Ave,739900,3.0,3.0,185.61872909698997,Nashville,Tennessee
1824 6th Ave N,750000,3.0,3.0,197.69602378298032,Nashville,Tennessee
3720 Woodmont Ln,1280000,3.0,3.0,211.44555927164623,Nashville,Tennessee
3612A West End Ave,1995000,4.0,6.0,442.49349684132295,Nashville,Tennessee
4913 Millerwood Dr,685000,4.0,2.0,205.77852099591232,Nashville,Tennessee
2601 Aspen Dr,359900,3.0,2.0,120.12263099219622,Nashville,Tennessee
220 Porter Village Cir,525000,2.0,4.0,112.96915644741732,Nashville,Tennessee
2926 Glenmeade Dr,475000,4.0,4.0,188.68450390189523,Nashville,Tennessee
2609 Landcrest Ct,615000,4.0,5.0,288.18283166109256,Nashville,Tennessee
991 Davidson Dr,520000,3.0,2.0,108.2311408398365,Nashville,Tennessee
1709 Long Ave A,1049900,3.0,3.0,232.34856930509105,Nashville,Tennessee
2601 Hillsboro Pike N1,290000,2.0,1.0,81.75399479747307,Nashville,Tennessee
5025 Inglewood Ct E,549999,3.0,2.0,148.64362690449647,Nashville,Tennessee
2609 Alameda St,619000,4.0,3.0,195.09476031215164,Nashville,Tennessee
105 Leake Ave,550000,2.0,2.0,141.02564102564102,Nashville,Tennessee
652A Vernon Ave,884900,3.0,4.0,227.3318468970643,Nashville,Tennessee
1722 7th Ave N,900000,3.0,3.0,171.96209587513937,Nashville,Tennessee
165 Hicks Rd 11,394900,3.0,4.0,187.19806763285024,Nashville,Tennessee
900 20th Ave S 1212,584900,1.0,1.0,75.06503158677071,Nashville,Tennessee
224 Joyner Ave,425000,4.0,2.0,123.37421033073208,Nashville,Tennessee
608 Annex Ave A,769900,4.0,4.0,227.238944630249,Nashville,Tennessee
937 W Greenwood Ave,360000,6.0,3.0,137.68115942028987,Nashville,Tennessee
2900 Primrose Cir,1083390,3.0,3.0,205.40691192865108,Nashville,Tennessee
224 Stonecrest Circle 122,589900,2.0,4.0,187.38387216648087,Nashville,Tennessee
6357 Alamo Pl,499000,3.0,2.0,240.61687105165367,Nashville,Tennessee
217 2nd Ave N,8500000,2.0,6.0,856.280193236715,Nashville,Tennessee
5045 N Hilson Dr,509900,4.0,2.0,150.96618357487924,Nashville,Tennessee
1225 McAlpine Ave,715000,4.0,3.0,191.37866963953923,Nashville,Tennessee
510 Basswood Ave 11,279900,2.0,2.0,108.69565217391305,Nashville,Tennessee
3947 Crouch Dr,299900,3.0,1.0,102.19249349684132,Nashville,Tennessee
806 Olympic St 306,515000,1.0,1.0,90.02229654403568,Nashville,Tennessee
1012 Douglas Ave,499000,3.0,3.0,184.132292827945,Nashville,Tennessee
4225 Longfellow Dr,479718,3.0,3.0,177.44332961724268,Nashville,Tennessee
2236 Lindell Ave,1100000,4.0,3.0,255.4812337421033,Nashville,Tennessee
835 Russleo Dr,618000,3.0,2.0,141.58305462653288,Nashville,Tennessee
914 Thomas Ave,469900,2.0,1.0,80.91787439613528,Nashville,Tennessee
119 Acklen Park Dr 103,929900,3.0,3.0,150.96618357487924,Nashville,Tennessee
1616 West End Ave 2704,1450000,2.0,3.0,131.17800074321815,Nashville,Tennessee
42 E Thompson Ln,479000,3.0,2.0,214.13972500929023,Nashville,Tennessee
987 Windrowe Dr,725000,3.0,3.0,192.9580081753995,Nashville,Tennessee
3116 Cloverwood Dr,450000,3.0,2.0,152.35971757710888,Nashville,Tennessee
515 Basswood Ave 108,212333,1.0,1.0,65.31029357116314,Nashville,Tennessee
6107 Hill Cir,1424500,4.0,5.0,319.76960237829803,Nashville,Tennessee
1815 4th Ave N,1399000,4.0,4.0,366.03493125232256,Nashville,Tennessee
4849 Lynn Dr,559999,3.0,2.0,130.8063916759569,Nashville,Tennessee
199 53rd Ave N,704900,2.0,1.0,69.67670011148273,Nashville,Tennessee
818 2nd St N,591000,3.0,3.0,144.55592716462283,Nashville,Tennessee
833 Rose Park Dr,589000,3.0,2.0,208.10107766629508,Nashville,Tennessee
1220 Alfred Dr,679900,3.0,2.0,167.13117800074323,Nashville,Tennessee
1127 McChesney Ave,925000,3.0,2.0,188.5916016350799,Nashville,Tennessee
938A Spain Ave,585000,3.0,3.0,170.01114827201783,Nashville,Tennessee
3244 Cloverwood Dr,362000,3.0,2.0,104.51505016722409,Nashville,Tennessee
904 S 13th St,1399000,4.0,4.0,282.60869565217394,Nashville,Tennessee
808 31st Ave N,499000,1.0,1.0,133.77926421404683,Nashville,Tennessee
3210 Orleans Dr 1,265000,2.0,1.0,78.03790412486065,Nashville,Tennessee
1817 Tyne Blvd,5990000,3.0,5.0,539.7621701969529,Nashville,Tennessee
839B Dewees Ave,1100000,4.0,4.0,220.45707915273135,Nashville,Tennessee
118 Cedar Place Bend,539400,3.0,3.0,244.05425492382017,Nashville,Tennessee
1820A 16th Ave N,515000,3.0,3.0,169.73244147157192,Nashville,Tennessee
34 Shepard St,564900,3.0,2.0,129.6915644741732,Nashville,Tennessee
510 Basswood Ave #8,259900,2.0,2.0,111.48272017837236,Nashville,Tennessee
916A 15th Ave S,1275000,4.0,4.0,261.6127833519138,Nashville,Tennessee
65 Lindsley Ave 210,594500,1.0,1.0,54.34782608695652,Nashville,Tennessee
555 Church St 2306,2800000,3.0,4.0,285.8602749907098,Nashville,Tennessee
1104 Greenland Ave,1600000,1.0,1.0,468.2274247491639,Nashville,Tennessee
3313 Niagara Dr,349900,3.0,2.0,114.26978818283166,Nashville,Tennessee
924 N 6th St,599000,3.0,2.0,136.00891861761428,Nashville,Tennessee
1806 6th Ave N,1599900,4.0,5.0,264.49275362318843,Nashville,Tennessee
1804 6th Ave N,1599900,4.0,5.0,270.1597918989223,Nashville,Tennessee
1421 Porter Rd 3,665000,3.0,3.0,191.2857673727239,Nashville,Tennessee
1085 Zophi St,575000,4.0,2.0,339.8364920104051,Nashville,Tennessee
1504 Grandview Dr,1565000,5.0,4.0,322.83537718320326,Nashville,Tennessee
2909 Glenmeade Dr,898000,4.0,3.0,287.25380899293947,Nashville,Tennessee
837 Vibe Pl,800000,3.0,3.0,141.86176142697883,Nashville,Tennessee
1206 63rd Ave N,619900,3.0,3.0,195.00185804533632,Nashville,Tennessee
4256 Jamesborough Pl,1085000,3.0,3.0,295.89371980676333,Nashville,Tennessee
1050 E Trinity Ln 1,775000,3.0,3.0,143.06949089557787,Nashville,Tennessee
1306 Lone Oak Cir,3350000,5.0,7.0,583.7049424005946,Nashville,Tennessee
1018 Petway Ave,633000,2.0,3.0,129.31995540691193,Nashville,Tennessee
1225 4th Avenue South,499950,2.0,2.0,121.7019695280565,Nashville,Tennessee
7307 Althorp Way,369900,2.0,3.0,127.09030100334449,Nashville,Tennessee
815 Westview Avenue,3799000,4.0,5.0,423.44853214418436,Nashville,Tennessee
841 Battlefield Dr A,1599000,4.0,4.0,295.42920847268675,Nashville,Tennessee
1143 Battery Ln,2690000,3.0,4.0,387.0308435525827,Nashville,Tennessee
1120A Woodvale Drive,1070000,3.0,3.0,249.9070977331847,Nashville,Tennessee
1121 Granny White Ct,4299000,5.0,7.0,620.6800445930882,Nashville,Tennessee
1412 Meharry Blvd B,599900,4.0,4.0,188.40579710144928,Nashville,Tennessee
301 Demonbreun St 1806,615000,1.0,1.0,77.75919732441471,Nashville,Tennessee
2826 Woodlawn Dr,529900,2.0,3.0,144.1843180973616,Nashville,Tennessee
770 Harpeth Trace Dr,499900,2.0,2.0,133.4076551467856,Nashville,Tennessee
1300 Harding Pl,4199923,5.0,8.0,640.9327387588257,Nashville,Tennessee
2118B Natchez Trce,950000,4.0,3.0,246.3768115942029,Nashville,Tennessee
3104 Trevor St,1199000,3.0,4.0,289.204756596061,Nashville,Tennessee
1435 Tyne Blvd,2900000,5.0,6.0,505.2025269416574,Nashville,Tennessee
3315 Nevada Ave,1650000,4.0,4.0,281.5867707172055,Nashville,Tennessee
340 Ladybird Dr,399000,4.0,2.0,134.70828688219993,Nashville,Tennessee
6012 Hill Cir A,1995000,5.0,5.0,353.30732069862506,Nashville,Tennessee
1811B Martin St,1199000,3.0,4.0,205.22110739502045,Nashville,Tennessee
278 Blackpool Dr,583000,4.0,3.0,249.0709773318469,Nashville,Tennessee
2912A Lee Davis Rd,649000,3.0,3.0,199.73987365291714,Nashville,Tennessee
5350 Hillsboro Pike,4250000,4.0,4.0,464.97584541062804,Nashville,Tennessee
201 Rolling Fork Ct,1799000,3.0,3.0,287.06800445930884,Nashville,Tennessee
1809 7th Ave N,839650,3.0,4.0,222.8725380899294,Nashville,Tennessee
257 Blackman Rd,599900,1.0,1.0,263.3779264214047,Nashville,Tennessee
2009 Castleman Dr,2100000,5.0,4.0,371.1445559271646,Nashville,Tennessee
600 12th Ave S Apt 1904,629000,1.0,1.0,80.54626532887403,Nashville,Tennessee
313 Becanni Lane,699900,3.0,4.0,178.37235228539578,Nashville,Tennessee
2610 Meharry Blvd A,675000,3.0,3.0,191.75027870680046,Nashville,Tennessee
506 American Rd,679000,5.0,3.0,175.67818654775178,Nashville,Tennessee
6113 Pinehurst Drive,4290000,6.0,7.0,664.3441099962839,Nashville,Tennessee
1404 Wedgewood Ave,1499999,3.0,4.0,250.8361204013378,Nashville,Tennessee
102 Clydelan Ct,3395000,5.0,8.0,498.792270531401,Nashville,Tennessee
4213B Farrar Ave,1599000,4.0,4.0,353.0286138981791,Nashville,Tennessee
456 Ewing Ln,479500,3.0,2.0,170.10405053883315,Nashville,Tennessee
1013A Alice St,619000,3.0,3.0,189.520624303233,Nashville,Tennessee
1103 Caldwell Ave,2495000,5.0,6.0,408.30546265328877,Nashville,Tennessee
2813 Rural Hill Cir,410000,4.0,3.0,172.2408026755853,Nashville,Tennessee
2123 Sharondale Dr,1850000,4.0,4.0,396.1352657004831,Nashville,Tennessee
6728 Sugar Hill Drive,579000,3.0,3.0,269.7881828316611,Nashville,Tennessee
801 Beth Dr,577900,5.0,3.0,208.19397993311037,Nashville,Tennessee
600 12th Ave S 1716,489000,1.0,1.0,66.05351170568562,Nashville,Tennessee
1613 23rd Ave N,675000,4.0,3.0,249.62839093273877,Nashville,Tennessee
825 N 5th St,720000,4.0,3.0,214.60423634336678,Nashville,Tennessee
